Country,Year,GDP,Per Capita,Growth
turkey,1991,$151.03B,"$2,730 ",0.72%
turkey,1990,$150.66B,"$2,773 ",9.27%
turkey,1989,$107.13B,"$2,010 ",0.29%
turkey,1988,$90.88B,"$1,738 ",2.32%
turkey,1987,$87.19B,"$1,701 ",9.49%
turkey,1986,$75.67B,"$1,507 ",7.01%
turkey,1985,$67.23B,"$1,367 ",4.24%
turkey,1984,$59.94B,"$1,246 ",6.71%
turkey,1983,$61.80B,"$1,314 ",4.97%
turkey,1982,$64.37B,"$1,401 ",3.56%
turkey,1981,$71.18B,"$1,582 ",4.86%
turkey,1980,$68.82B,"$1,561 ",-2.45%
turkey,1979,$89.62B,"$2,075 ",-0.62%
turkey,1978,$65.91B,"$1,559 ",1.50%
turkey,1977,$58.68B,"$1,418 ",3.41%
turkey,1976,$51.45B,"$1,270 ",10.46%
turkey,1975,$46.04B,"$1,161 ",7.17%
turkey,1974,$35.41B,$911 ,5.59%
turkey,1973,$26.00B,$684 ,3.26%
turkey,1972,$20.65B,$555 ,7.43%
turkey,1971,$16.17B,$445 ,5.57%
turkey,1970,$17.86B,$503 ,3.23%
turkey,1969,$19.47B,$561 ,4.08%
turkey,1968,$17.50B,$516 ,6.78%
turkey,1967,$15.64B,$474 ,4.73%
turkey,1966,$14.10B,$438 ,11.21%
turkey,1965,$11.97B,$381 ,2.82%
turkey,1964,$11.18B,$365 ,5.46%
turkey,1963,$10.36B,$347 ,9.07%
turkey,1962,$8.92B,$307 ,5.57%
turkey,1961,$7.99B,$283 ,1.16%
turkey,1960,$7.57B,$275 ,%
saudi-arabia,2023,"$1,067.58B","$28,895 ",-0.75%
saudi-arabia,2022,"$1,108.57B","$30,448 ",7.49%
saudi-arabia,2021,$874.16B,"$24,316 ",5.08%
saudi-arabia,2020,$734.27B,"$20,398 ",-3.58%
saudi-arabia,2019,$838.56B,"$23,406 ",1.10%
saudi-arabia,2018,$846.58B,"$24,176 ",3.20%
saudi-arabia,2017,$714.99B,"$20,910 ",0.91%
saudi-arabia,2016,$666.00B,"$19,930 ",1.88%
saudi-arabia,2015,$669.48B,"$20,442 ",4.51%
saudi-arabia,2014,$766.61B,"$23,863 ",3.81%
saudi-arabia,2013,$753.86B,"$23,946 ",2.53%
saudi-arabia,2012,$741.85B,"$24,069 ",5.41%
saudi-arabia,2011,$676.63B,"$22,442 ",10.99%
saudi-arabia,2010,$528.21B,"$17,959 ",5.04%
saudi-arabia,2009,$429.10B,"$15,065 ",-2.06%
saudi-arabia,2008,$519.80B,"$18,945 ",6.25%
saudi-arabia,2007,$415.96B,"$15,756 ",1.85%
saudi-arabia,2006,$376.90B,"$14,849 ",2.79%
saudi-arabia,2005,$328.46B,"$13,463 ",5.57%
saudi-arabia,2004,$258.74B,"$10,935 ",7.96%
saudi-arabia,2003,$215.81B,"$9,322 ",11.24%
saudi-arabia,2002,$189.61B,"$8,381 ",-2.82%
saudi-arabia,2001,$184.14B,"$8,337 ",-1.21%
saudi-arabia,2000,$189.51B,"$8,795 ",5.63%
saudi-arabia,1999,$161.72B,"$7,697 ",-3.76%
saudi-arabia,1998,$146.78B,"$7,169 ",2.89%
saudi-arabia,1997,$165.96B,"$8,324 ",1.10%
saudi-arabia,1996,$158.66B,"$8,174 ",2.64%
saudi-arabia,1995,$143.34B,"$7,589 ",0.21%
saudi-arabia,1994,$135.17B,"$7,359 ",0.56%
saudi-arabia,1993,$132.97B,"$7,451 ",-1.36%
saudi-arabia,1992,$137.09B,"$7,933 ",3.99%
saudi-arabia,1991,$132.22B,"$7,939 ",15.01%
saudi-arabia,1990,$117.63B,"$7,350 ",15.19%
saudi-arabia,1989,$95.34B,"$6,210 ",-0.50%
saudi-arabia,1988,$88.26B,"$5,998 ",13.11%
saudi-arabia,1987,$85.70B,"$6,082 ",-6.63%
saudi-arabia,1986,$86.96B,"$6,450 ",17.01%
saudi-arabia,1985,$103.90B,"$8,060 ",-9.79%
saudi-arabia,1984,$119.62B,"$9,717 ",-4.66%
saudi-arabia,1983,$129.17B,"$10,997 ",-16.05%
saudi-arabia,1982,$153.24B,"$13,681 ",-20.73%
saudi-arabia,1981,$184.29B,"$17,259 ",1.94%
saudi-arabia,1980,$164.54B,"$16,176 ",5.65%
saudi-arabia,1979,$111.86B,"$11,553 ",11.92%
saudi-arabia,1978,$80.27B,"$8,715 ",-5.22%
saudi-arabia,1977,$74.19B,"$8,474 ",7.09%
saudi-arabia,1976,$64.01B,"$7,693 ",17.82%
saudi-arabia,1975,$46.77B,"$5,923 ",-8.93%
saudi-arabia,1974,$45.41B,"$6,068 ",16.23%
saudi-arabia,1973,$14.95B,"$2,109 ",24.17%
saudi-arabia,1972,$9.66B,"$1,437 ",22.93%
saudi-arabia,1971,$7.18B,"$1,123 ",20.51%
saudi-arabia,1970,$5.38B,$881 ,52.59%
saudi-arabia,1969,$4.49B,$767 ,6.04%
saudi-arabia,1968,$4.19B,$747 ,7.66%
saudi-arabia,1967,$3.26B,$605 ,8.91%
saudi-arabia,1966,$2.92B,$565 ,8.18%
saudi-arabia,1965,$2.65B,$532 ,12.14%
saudi-arabia,1964,$2.37B,$495 ,8.78%
saudi-arabia,1963,$2.21B,$478 ,8.70%
saudi-arabia,1962,$2.13B,$478 ,11.92%
saudi-arabia,1961,$1.92B,$446 ,11.88%
saudi-arabia,1960,$1.75B,$420 ,%
switzerland,2023,$884.94B,"$99,995 ",0.72%
switzerland,2022,$818.43B,"$93,260 ",2.57%
switzerland,2021,$813.41B,"$93,446 ",5.39%
switzerland,2020,$742.00B,"$85,898 ",-2.14%
switzerland,2019,$721.37B,"$84,122 ",1.14%
switzerland,2018,$725.57B,"$85,217 ",2.86%
switzerland,2017,$695.20B,"$82,254 ",1.36%
switzerland,2016,$687.90B,"$82,153 ",2.07%
switzerland,2015,$694.12B,"$83,806 ",1.64%
switzerland,2014,$726.54B,"$88,725 ",2.35%
switzerland,2013,$706.23B,"$87,304 ",1.79%
switzerland,2012,$686.42B,"$85,836 ",1.18%
switzerland,2011,$715.89B,"$90,477 ",1.81%
switzerland,2010,$598.85B,"$76,531 ",3.24%
switzerland,2009,$554.21B,"$71,568 ",-2.30%
switzerland,2008,$567.27B,"$74,175 ",2.81%
switzerland,2007,$490.74B,"$64,989 ",3.92%
switzerland,2006,$441.63B,"$59,011 ",4.07%
switzerland,2005,$418.28B,"$56,243 ",2.75%
switzerland,2004,$403.91B,"$54,659 ",2.70%
switzerland,2003,$362.08B,"$49,336 ",-0.03%
switzerland,2002,$309.30B,"$42,459 ",-0.07%
switzerland,2001,$286.58B,"$39,639 ",1.58%
switzerland,2000,$279.22B,"$38,865 ",3.96%
switzerland,1999,$297.87B,"$41,696 ",1.66%
switzerland,1998,$303.46B,"$42,681 ",3.03%
switzerland,1997,$294.79B,"$41,584 ",2.26%
switzerland,1996,$340.10B,"$48,093 ",0.47%
switzerland,1995,$352.84B,"$50,114 ",0.48%
switzerland,1994,$301.38B,"$43,092 ",1.27%
switzerland,1993,$272.24B,"$39,237 ",-0.13%
switzerland,1992,$279.92B,"$40,714 ",-0.04%
switzerland,1991,$268.90B,"$39,544 ",-0.92%
switzerland,1990,$265.76B,"$39,575 ",3.67%
switzerland,1989,$208.11B,"$31,309 ",4.33%
switzerland,1988,$215.54B,"$32,690 ",3.28%
switzerland,1987,$199.24B,"$30,441 ",1.59%
switzerland,1986,$159.09B,"$24,460 ",1.86%
switzerland,1985,$110.98B,"$17,152 ",3.67%
switzerland,1984,$109.46B,"$16,991 ",3.01%
switzerland,1983,$114.63B,"$17,859 ",0.64%
switzerland,1982,$115.04B,"$18,000 ",-1.31%
switzerland,1981,$112.24B,"$17,665 ",1.60%
switzerland,1980,$122.56B,"$19,394 ",4.60%
switzerland,1979,$114.97B,"$18,266 ",2.49%
switzerland,1978,$102.28B,"$16,282 ",0.41%
switzerland,1977,$73.14B,"$11,644 ",2.43%
switzerland,1976,$68.48B,"$10,865 ",-1.40%
switzerland,1975,$65.47B,"$10,328 ",-7.28%
switzerland,1974,$57.10B,"$9,005 ",1.45%
switzerland,1973,$49.55B,"$7,856 ",3.05%
switzerland,1972,$36.84B,"$5,885 ",3.20%
switzerland,1971,$30.04B,"$4,835 ",4.08%
switzerland,1970,$25.00B,"$4,044 ",6.38%
switzerland,1969,$22.44B,"$3,657 ",5.63%
switzerland,1968,$20.71B,"$3,413 ",3.59%
switzerland,1967,$19.40B,"$3,237 ",3.06%
switzerland,1966,$18.02B,"$3,045 ",2.46%
switzerland,1965,$16.78B,"$2,865 ",2.10%
switzerland,1964,$15.83B,"$2,735 ",5.26%
switzerland,1963,$14.28B,"$2,508 ",4.88%
switzerland,1962,$12.99B,"$2,330 ",4.79%
switzerland,1961,$11.71B,"$2,155 ",8.11%
switzerland,1960,$10.41B,"$1,954 ",%
poland,2023,$811.23B,"$22,113 ",0.16%
poland,2022,$689.76B,"$18,732 ",5.64%
poland,2021,$681.35B,"$18,050 ",6.94%
poland,2020,$599.44B,"$15,817 ",-2.02%
poland,2019,$596.06B,"$15,700 ",4.45%
poland,2018,$588.78B,"$15,505 ",5.95%
poland,2017,$524.64B,"$13,816 ",5.14%
poland,2016,$470.02B,"$12,379 ",2.95%
poland,2015,$477.11B,"$12,560 ",4.38%
poland,2014,$539.08B,"$14,182 ",3.84%
poland,2013,$515.76B,"$13,558 ",0.86%
poland,2012,$495.23B,"$13,011 ",1.55%
poland,2011,$524.37B,"$13,776 ",5.04%
poland,2010,$475.70B,"$12,504 ",2.93%
poland,2009,$439.73B,"$11,526 ",2.83%
poland,2008,$533.60B,"$13,996 ",4.20%
poland,2007,$429.02B,"$11,254 ",7.06%
poland,2006,$344.63B,"$9,036 ",6.13%
poland,2005,$306.15B,"$8,022 ",3.51%
poland,2004,$255.11B,"$6,681 ",4.98%
poland,2003,$217.83B,"$5,702 ",3.50%
poland,2002,$199.07B,"$5,207 ",2.04%
poland,2001,$190.91B,"$4,991 ",1.26%
poland,2000,$172.22B,"$4,501 ",4.56%
poland,1999,$170.03B,"$4,398 ",4.65%
poland,1998,$174.69B,"$4,518 ",4.64%
poland,1997,$159.36B,"$4,123 ",6.45%
poland,1996,$160.19B,"$4,147 ",6.12%
poland,1995,$142.29B,"$3,687 ",7.10%
poland,1994,$110.80B,"$2,875 ",5.29%
poland,1993,$96.04B,"$2,497 ",3.74%
poland,1992,$94.34B,"$2,459 ",2.52%
poland,1991,$85.50B,"$2,236 ",-7.02%
poland,1990,$65.98B,"$1,731 ",%
argentina,,$B,,-0.74%
argentina,,$B,,-5.19%
argentina,,$B,,1.52%
argentina,,$B,,10.22%
argentina,,$B,,-4.51%
argentina,,$B,,6.93%
argentina,,$B,,-2.02%
argentina,,$B,,-0.03%
argentina,,$B,,5.53%
argentina,,$B,,2.81%
argentina,,$B,,1.63%
argentina,,$B,,5.66%
argentina,,$B,,3.05%
argentina,,$B,,9.68%
argentina,,$B,,4.82%
argentina,,$B,,3.19%
argentina,,$B,,-0.66%
argentina,,$B,,10.57%
argentina,,$B,,10.13%
argentina,,$B,,-5.31%
argentina,,$B,,-0.85%
argentina,,$B,,5.43%
argentina,2023,$640.59B,"$13,731 ",-1.55%
argentina,2022,$631.13B,"$13,651 ",4.96%
argentina,2021,$487.90B,"$10,651 ",10.72%
argentina,2020,$385.74B,"$8,501 ",-9.90%
argentina,2019,$447.75B,"$9,964 ",-2.00%
argentina,2018,$524.82B,"$11,795 ",-2.62%
argentina,2017,$643.63B,"$14,613 ",2.82%
argentina,2016,$557.53B,"$12,790 ",-2.08%
argentina,2015,$594.75B,"$13,789 ",2.73%
argentina,2014,$526.32B,"$12,335 ",-2.51%
argentina,2013,$552.03B,"$13,080 ",2.41%
argentina,2012,$545.98B,"$13,083 ",-1.03%
argentina,2011,$530.16B,"$12,849 ",6.00%
argentina,2010,$423.63B,"$10,386 ",10.13%
argentina,2009,$332.98B,"$8,184 ",-5.92%
argentina,2008,$361.56B,"$8,978 ",4.06%
argentina,2007,$287.53B,"$7,211 ",9.01%
argentina,2006,$232.56B,"$5,891 ",8.05%
argentina,2005,$198.74B,"$5,087 ",8.85%
argentina,2004,$164.66B,"$4,258 ",9.03%
argentina,2003,$127.59B,"$3,333 ",8.84%
argentina,2002,$97.72B,"$2,579 ",-10.89%
argentina,2001,$268.70B,"$7,169 ",-4.41%
argentina,2000,$284.20B,"$7,667 ",-0.79%
argentina,1999,$283.52B,"$7,735 ",-3.39%
argentina,1998,$298.95B,"$8,251 ",3.85%
argentina,1997,$292.86B,"$8,177 ",8.11%
argentina,1996,$272.15B,"$7,690 ",5.53%
argentina,1995,$258.03B,"$7,384 ",-2.85%
argentina,1994,$257.44B,"$7,464 ",5.84%
argentina,1993,$236.74B,"$6,957 ",8.21%
argentina,1992,$228.78B,"$6,815 ",7.94%
argentina,1991,$189.72B,"$5,731 ",9.13%
argentina,1990,$141.35B,"$4,331 ",-2.47%
argentina,1989,$76.63B,"$2,382 ",-7.16%
argentina,1988,$126.93B,"$4,005 ",-1.09%
argentina,1987,$109.03B,"$3,493 ",2.70%
argentina,1986,$106.21B,"$3,454 ",6.15%
argentina,1985,$88.42B,"$2,919 ",-5.19%
argentina,1984,$112.99B,"$3,787 ",1.57%
argentina,1983,$109.49B,"$3,727 ",4.35%
belgium,2023,$632.22B,"$53,475 ",1.37%
belgium,2022,$583.61B,"$49,942 ",3.01%
belgium,2021,$600.90B,"$51,864 ",6.93%
belgium,2020,$526.02B,"$45,588 ",-5.30%
belgium,2019,$535.87B,"$46,642 ",2.24%
belgium,2018,$543.30B,"$47,545 ",1.79%
belgium,2017,$502.76B,"$44,198 ",1.62%
belgium,2016,$476.06B,"$42,013 ",1.27%
belgium,2015,$462.34B,"$41,008 ",2.04%
belgium,2014,$535.39B,"$47,764 ",1.58%
belgium,2013,$521.79B,"$46,758 ",0.46%
belgium,2012,$496.15B,"$44,671 ",0.74%
belgium,2011,$523.33B,"$47,411 ",1.69%
belgium,2010,$481.42B,"$44,185 ",2.86%
belgium,2009,$483.25B,"$44,760 ",-2.02%
belgium,2008,$517.33B,"$48,303 ",0.45%
belgium,2007,$470.92B,"$44,319 ",3.68%
belgium,2006,$408.26B,"$38,705 ",2.55%
belgium,2005,$385.71B,"$36,810 ",2.32%
belgium,2004,$369.21B,"$35,429 ",3.57%
belgium,2003,$318.08B,"$30,655 ",1.04%
belgium,2002,$258.38B,"$25,006 ",1.71%
belgium,2001,$236.75B,"$23,015 ",1.10%
belgium,2000,$236.79B,"$23,099 ",3.72%
belgium,1999,$258.25B,"$25,253 ",3.54%
belgium,1998,$258.53B,"$25,338 ",1.96%
belgium,1997,$252.71B,"$24,821 ",3.79%
belgium,1996,$279.20B,"$27,490 ",1.32%
belgium,1995,$288.03B,"$28,414 ",2.38%
belgium,1994,$244.88B,"$24,209 ",3.23%
belgium,1993,$224.72B,"$22,284 ",-0.96%
belgium,1992,$234.78B,"$23,373 ",1.53%
belgium,1991,$210.51B,"$21,042 ",1.83%
belgium,1990,$205.33B,"$20,600 ",3.14%
belgium,1989,$164.22B,"$16,525 ",3.47%
belgium,1988,$162.30B,"$16,391 ",4.72%
belgium,1987,$149.39B,"$15,136 ",2.31%
belgium,1986,$120.02B,"$12,170 ",1.82%
belgium,1985,$86.27B,"$8,751 ",1.65%
belgium,1984,$83.35B,"$8,457 ",2.47%
belgium,1983,$87.18B,"$8,846 ",0.31%
belgium,1982,$92.10B,"$9,344 ",0.60%
belgium,1981,$104.73B,"$10,623 ",-0.28%
belgium,1980,$126.83B,"$12,864 ",4.44%
belgium,1979,$116.32B,"$11,811 ",2.34%
belgium,1978,$101.25B,"$10,290 ",2.84%
belgium,1977,$82.84B,"$8,427 ",0.63%
belgium,1976,$71.11B,"$7,243 ",5.65%
belgium,1975,$65.68B,"$6,701 ",-1.97%
belgium,1974,$56.03B,"$5,734 ",4.57%
belgium,1973,$47.74B,"$4,901 ",6.38%
belgium,1972,$37.21B,"$3,832 ",5.30%
belgium,1971,$29.82B,"$3,083 ",3.99%
belgium,1970,$26.71B,"$2,766 ",6.35%
belgium,1969,$24.02B,"$2,490 ",6.63%
belgium,1968,$21.65B,"$2,251 ",4.19%
belgium,1967,$20.25B,"$2,114 ",3.87%
belgium,1966,$18.89B,"$1,983 ",3.16%
belgium,1965,$17.60B,"$1,860 ",3.56%
belgium,1964,$16.17B,"$1,724 ",6.96%
belgium,1963,$14.45B,"$1,555 ",4.35%
belgium,1962,$13.44B,"$1,457 ",5.21%
belgium,1961,$12.56B,"$1,368 ",4.98%
belgium,1960,$11.81B,"$1,290 ",%
sweden,2023,$593.27B,"$56,305 ",-0.20%
sweden,2022,$590.41B,"$56,300 ",2.66%
sweden,2021,$639.71B,"$61,418 ",6.15%
sweden,2020,$547.05B,"$52,838 ",-2.17%
sweden,2019,$533.88B,"$51,939 ",1.99%
sweden,2018,$555.46B,"$54,589 ",1.95%
sweden,2017,$541.02B,"$53,792 ",2.57%
sweden,2016,$515.65B,"$51,965 ",2.07%
sweden,2015,$505.10B,"$51,545 ",4.49%
sweden,2014,$581.96B,"$60,020 ",2.66%
sweden,2013,$586.84B,"$61,127 ",1.19%
sweden,2012,$552.48B,"$58,038 ",-0.59%
sweden,2011,$574.09B,"$60,756 ",3.20%
sweden,2010,$495.81B,"$52,869 ",5.95%
sweden,2009,$436.54B,"$46,947 ",-4.34%
sweden,2008,$517.71B,"$56,153 ",-0.45%
sweden,2007,$491.25B,"$53,700 ",3.44%
sweden,2006,$423.09B,"$46,594 ",4.66%
sweden,2005,$392.22B,"$43,437 ",2.86%
sweden,2004,$385.12B,"$42,822 ",4.34%
sweden,2003,$334.34B,"$37,322 ",2.31%
sweden,2002,$266.85B,"$29,899 ",2.20%
sweden,2001,$242.40B,"$27,248 ",1.45%
sweden,2000,$262.84B,"$29,625 ",4.77%
sweden,1999,$274.07B,"$30,941 ",4.25%
sweden,1998,$270.81B,"$30,597 ",4.31%
sweden,1997,$268.15B,"$30,312 ",3.07%
sweden,1996,$291.74B,"$32,999 ",1.58%
sweden,1995,$267.31B,"$30,283 ",3.94%
sweden,1994,$229.03B,"$26,084 ",3.93%
sweden,1993,$212.95B,"$24,425 ",-2.07%
sweden,1992,$284.32B,"$32,801 ",-1.16%
sweden,1991,$274.23B,"$31,823 ",-1.15%
sweden,1990,$261.85B,"$30,594 ",0.75%
sweden,1989,$217.95B,"$25,662 ",2.65%
sweden,1988,$206.99B,"$24,535 ",2.56%
sweden,1987,$183.01B,"$21,793 ",3.35%
sweden,1986,$150.50B,"$17,981 ",2.69%
sweden,1985,$114.12B,"$13,667 ",2.16%
sweden,1984,$109.20B,"$13,099 ",4.23%
sweden,1983,$105.01B,"$12,608 ",1.90%
sweden,1982,$114.38B,"$13,739 ",1.25%
sweden,1981,$129.69B,"$15,586 ",0.45%
sweden,1980,$142.09B,"$17,098 ",1.70%
sweden,1979,$123.39B,"$14,877 ",3.84%
sweden,1978,$104.44B,"$12,621 ",1.75%
sweden,1977,$94.47B,"$11,449 ",-1.60%
sweden,1976,$89.36B,"$10,868 ",1.06%
sweden,1975,$82.89B,"$10,117 ",2.55%
sweden,1974,$66.01B,"$8,090 ",3.20%
sweden,1973,$59.40B,"$7,301 ",3.97%
sweden,1972,$48.95B,"$6,027 ",2.29%
sweden,1971,$41.57B,"$5,133 ",0.94%
sweden,1970,$38.09B,"$4,736 ",6.47%
sweden,1969,$34.02B,"$4,269 ",5.01%
sweden,1968,$31.32B,"$3,959 ",3.64%
sweden,1967,$29.52B,"$3,752 ",3.37%
sweden,1966,$27.19B,"$3,483 ",2.09%
sweden,1965,$25.00B,"$3,233 ",3.82%
sweden,1964,$22.72B,"$2,965 ",6.82%
sweden,1963,$20.37B,"$2,679 ",5.33%
sweden,1962,$18.82B,"$2,489 ",4.26%
sweden,1961,$17.35B,"$2,308 ",5.68%
sweden,1960,$15.95B,"$2,131 ",%
ireland,2023,$545.63B,"$103,685 ",-3.20%
ireland,2022,$533.14B,"$103,983 ",9.43%
ireland,2021,$513.39B,"$102,002 ",15.13%
ireland,2020,$428.61B,"$85,973 ",6.62%
ireland,2019,$398.93B,"$80,848 ",5.30%
ireland,2018,$386.69B,"$79,447 ",8.47%
ireland,2017,$337.24B,"$70,151 ",9.31%
ireland,2016,$298.56B,"$62,784 ",1.77%
ireland,2015,$292.36B,"$62,179 ",24.48%
ireland,2014,$259.68B,"$55,753 ",8.83%
ireland,2013,$238.11B,"$51,497 ",1.17%
ireland,2012,$225.12B,"$48,944 ",-0.13%
ireland,2011,$239.17B,"$52,220 ",1.28%
ireland,2010,$221.91B,"$48,664 ",1.68%
ireland,2009,$236.44B,"$52,133 ",-5.10%
ireland,2008,$275.45B,"$61,353 ",-4.48%
ireland,2007,$270.08B,"$61,396 ",5.31%
ireland,2006,$232.18B,"$54,329 ",4.99%
ireland,2005,$211.88B,"$50,933 ",5.74%
ireland,2004,$194.37B,"$47,754 ",6.79%
ireland,2003,$164.67B,"$41,204 ",3.01%
ireland,2002,$128.60B,"$32,705 ",5.90%
ireland,2001,$109.35B,"$28,282 ",5.31%
ireland,2000,$100.21B,"$26,335 ",9.40%
ireland,1999,$98.89B,"$26,338 ",10.53%
ireland,1998,$90.20B,"$24,295 ",8.77%
ireland,1997,$82.86B,"$22,551 ",11.02%
ireland,1996,$75.79B,"$20,836 ",7.38%
ireland,1995,$69.14B,"$19,158 ",9.63%
ireland,1994,$57.10B,"$15,903 ",5.76%
ireland,1993,$52.42B,"$14,657 ",2.69%
ireland,1992,$55.92B,"$15,714 ",3.34%
ireland,1991,$49.79B,"$14,087 ",1.93%
ireland,1990,$49.31B,"$14,031 ",8.47%
ireland,1989,$39.24B,"$11,176 ",5.81%
ireland,1988,$37.77B,"$10,716 ",5.22%
ireland,1987,$33.92B,"$9,582 ",4.66%
ireland,1986,$28.71B,"$8,112 ",-0.43%
ireland,1985,$21.27B,"$6,012 ",3.09%
ireland,1984,$20.11B,"$5,692 ",4.35%
ireland,1983,$20.77B,"$5,915 ",-0.24%
ireland,1982,$21.47B,"$6,161 ",2.28%
ireland,1981,$20.67B,"$5,986 ",3.33%
ireland,1980,$21.75B,"$6,372 ",3.08%
ireland,1979,$18.32B,"$5,430 ",3.07%
ireland,1978,$14.65B,"$4,400 ",7.19%
ireland,1977,$11.25B,"$3,427 ",8.21%
ireland,1976,$9.45B,"$2,920 ",1.39%
ireland,1975,$9.48B,"$2,973 ",5.66%
ireland,1974,$7.90B,"$2,517 ",4.26%
ireland,1973,$7.48B,"$2,424 ",4.72%
ireland,1972,$6.32B,"$2,080 ",6.49%
ireland,1971,$5.10B,"$1,704 ",3.47%
ireland,1970,$4.40B,"$1,487 ",2.66%
ireland,1969,$3.90B,"$1,331 ",5.86%
ireland,1968,$3.38B,"$1,159 ",8.24%
ireland,1967,$3.45B,"$1,187 ",5.79%
ireland,1966,$3.20B,"$1,107 ",0.89%
ireland,1965,$3.04B,"$1,055 ",1.93%
ireland,1964,$2.85B,$995 ,3.79%
ireland,1963,$2.51B,$878 ,4.74%
ireland,1962,$2.33B,$821 ,3.22%
ireland,1961,$2.15B,$762 ,5.02%
ireland,1960,$2.00B,$707 ,%
austria,2023,$516.03B,"$56,506 ",-0.83%
austria,2022,$470.94B,"$52,085 ",4.81%
austria,2021,$479.30B,"$53,518 ",4.24%
austria,2020,$435.05B,"$48,789 ",-6.63%
austria,2019,$444.60B,"$50,068 ",1.45%
austria,2018,$454.99B,"$51,467 ",2.43%
austria,2017,$417.26B,"$47,429 ",2.26%
austria,2016,$395.84B,"$45,308 ",1.99%
austria,2015,$381.97B,"$44,196 ",1.01%
austria,2014,$442.58B,"$51,786 ",0.66%
austria,2013,$430.19B,"$50,731 ",0.03%
austria,2012,$409.40B,"$48,565 ",0.68%
austria,2011,$431.69B,"$51,442 ",2.92%
austria,2010,$392.28B,"$46,904 ",1.84%
austria,2009,$401.76B,"$48,153 ",-3.76%
austria,2008,$432.05B,"$51,920 ",1.46%
austria,2007,$389.19B,"$46,915 ",3.73%
austria,2006,$336.28B,"$40,669 ",3.45%
austria,2005,$316.09B,"$38,417 ",2.24%
austria,2004,$301.46B,"$36,889 ",2.74%
austria,2003,$262.27B,"$32,294 ",0.94%
austria,2002,$214.39B,"$26,528 ",1.65%
austria,2001,$197.51B,"$24,559 ",1.27%
austria,2000,$197.29B,"$24,626 ",3.38%
austria,1999,$217.26B,"$27,183 ",3.56%
austria,1998,$218.26B,"$27,362 ",3.58%
austria,1997,$212.79B,"$26,705 ",2.09%
austria,1996,$237.25B,"$29,809 ",2.35%
austria,1995,$241.04B,"$30,326 ",2.67%
austria,1994,$203.54B,"$25,647 ",2.40%
austria,1993,$190.38B,"$24,082 ",0.53%
austria,1992,$195.08B,"$24,880 ",2.09%
austria,1991,$173.79B,"$22,411 ",3.44%
austria,1990,$166.46B,"$21,681 ",4.35%
austria,1989,$133.11B,"$17,469 ",3.89%
austria,1988,$133.34B,"$17,579 ",3.30%
austria,1987,$124.17B,"$16,393 ",1.36%
austria,1986,$99.04B,"$13,083 ",2.30%
austria,1985,$69.39B,"$9,172 ",2.50%
austria,1984,$67.99B,"$8,991 ",0.05%
austria,1983,$72.12B,"$9,537 ",2.97%
austria,1982,$71.28B,"$9,410 ",2.01%
austria,1981,$71.03B,"$9,385 ",-0.14%
austria,1980,$82.06B,"$10,870 ",1.73%
austria,1979,$73.94B,"$9,794 ",5.36%
austria,1978,$62.05B,"$8,205 ",-0.21%
austria,1977,$51.55B,"$6,811 ",5.08%
austria,1976,$42.96B,"$5,678 ",4.58%
austria,1975,$40.06B,"$5,286 ",-0.36%
austria,1974,$35.19B,"$4,631 ",3.94%
austria,1973,$29.52B,"$3,891 ",4.89%
austria,1972,$22.06B,"$2,924 ",6.21%
austria,1971,$17.86B,"$2,381 ",5.12%
austria,1970,$15.37B,"$2,059 ",7.12%
austria,1969,$13.70B,"$1,841 ",6.28%
austria,1968,$12.55B,"$1,692 ",4.47%
austria,1967,$11.68B,"$1,583 ",3.01%
austria,1966,$10.98B,"$1,500 ",5.64%
austria,1965,$10.08B,"$1,387 ",3.48%
austria,1964,$9.25B,"$1,280 ",6.12%
austria,1963,$8.45B,"$1,177 ",4.14%
austria,1962,$7.82B,"$1,097 ",2.65%
austria,1961,$7.38B,"$1,041 ",5.54%
austria,1960,$6.65B,$944 ,%
thailand,2023,$514.94B,"$7,172 ",1.88%
thailand,2022,$495.65B,"$6,913 ",2.46%
thailand,2021,$506.26B,"$7,071 ",1.57%
thailand,2020,$500.46B,"$7,002 ",-6.05%
thailand,2019,$543.98B,"$7,629 ",2.11%
thailand,2018,$506.75B,"$7,125 ",4.22%
thailand,2017,$456.36B,"$6,437 ",4.18%
thailand,2016,$413.37B,"$5,854 ",3.44%
thailand,2015,$401.30B,"$5,709 ",3.13%
thailand,2014,$407.34B,"$5,822 ",0.98%
thailand,2013,$420.33B,"$6,041 ",2.69%
thailand,2012,$397.56B,"$5,749 ",7.24%
thailand,2011,$370.82B,"$5,397 ",0.84%
thailand,2010,$341.10B,"$4,996 ",7.51%
thailand,2009,$281.71B,"$4,154 ",-0.69%
thailand,2008,$291.38B,"$4,328 ",1.73%
thailand,2007,$262.94B,"$3,935 ",5.44%
thailand,2006,$221.76B,"$3,344 ",4.97%
thailand,2005,$189.32B,"$2,876 ",4.19%
thailand,2004,$172.90B,"$2,647 ",6.29%
thailand,2003,$152.28B,"$2,351 ",7.19%
thailand,2002,$134.30B,"$2,091 ",6.15%
thailand,2001,$120.30B,"$1,890 ",3.44%
thailand,2000,$126.39B,"$2,004 ",4.46%
thailand,1999,$126.67B,"$2,029 ",4.57%
thailand,1998,$113.68B,"$1,841 ",-7.63%
thailand,1997,$150.18B,"$2,462 ",-2.75%
