Country,Trade Type,Category,Value,Year
kiribati,Export,Lead,$27.89K,2021
kiribati,Export,Aluminum,$25.53K,2021
kiribati,Export,"Machinery, nuclear reactors, boilers",$9.13K,2021
kiribati,Export,"Optical, photo, technical, medical apparatus",$6.93K,2021
kiribati,Export,Articles of iron or steel,$5.69K,2021
new-caledonia,Export,Iron and steel,$606.76M,2015
new-caledonia,Export,Ores slag and ash,$237.11M,2015
new-caledonia,Export,Nickel,$225.42M,2015
new-caledonia,Export,"Inorganic chemicals, precious metal compound, isotope",$73.86M,2015
new-caledonia,Export,Commodities not specified according to kind,$18.05M,2015
new-caledonia,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$14.40M,2015
new-caledonia,Export,"Electrical, electronic equipment",$10.60M,2015
new-caledonia,Export,"Railway, tramway locomotives, rolling stock, equipment",$7.53M,2015
new-caledonia,Export,"Aircraft, spacecraft",$7.27M,2015
new-caledonia,Export,"Vehicles other than railway, tramway",$6.31M,2015
new-zealand,Export,"Dairy products, eggs, honey, edible products",$12.47B,2024
new-zealand,Export,Meat and edible meat offal,$5.22B,2024
new-zealand,Export,"Wood and articles of wood, wood charcoal",$2.89B,2024
new-zealand,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$2.88B,2024
new-zealand,Export,"Cereal, flour, starch, milk preparations and products",$1.65B,2024
new-zealand,Export,"Beverages, spirits and vinegar",$1.51B,2024
new-zealand,Export,"Machinery, nuclear reactors, boilers",$1.51B,2024
new-zealand,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$1.22B,2024
new-zealand,Export,"Albuminoids, modified starches, glues, enzymes",$1.18B,2024
new-zealand,Export,"Electrical, electronic equipment",$961.80M,2024
papua-new-guinea,Export,"Mineral fuels, oils, distillation products",$4.39B,2021
papua-new-guinea,Export,"Pearls, precious stones, metals, coins",$1.66B,2021
papua-new-guinea,Export,Ores slag and ash,$941.57M,2021
papua-new-guinea,Export,"Animal, vegetable fats and oils, cleavage products",$930.26M,2021
papua-new-guinea,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$394.62M,2021
papua-new-guinea,Export,"Wood and articles of wood, wood charcoal",$320.35M,2021
papua-new-guinea,Export,Nickel,$278.45M,2021
papua-new-guinea,Export,"Meat, fish and seafood preparations",$208.12M,2021
papua-new-guinea,Export,"Coffee, tea, mate and spices",$168.03M,2021
papua-new-guinea,Export,Cocoa and cocoa preparations,$83.28M,2021
samoa,Export,"Mineral fuels, oils, distillation products",$17.88M,2023
samoa,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$7.12M,2023
samoa,Export,"Electrical, electronic equipment",$4.10M,2023
samoa,Export,"Animal, vegetable fats and oils, cleavage products",$3.80M,2023
samoa,Export,Edible vegetables and certain roots and tubers,$1.96M,2023
samoa,Export,"Vegetable, fruit, nut food preparations",$786.39K,2023
samoa,Export,Iron and steel,$761.18K,2023
samoa,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$681.53K,2023
samoa,Export,"Dairy products, eggs, honey, edible products",$480.51K,2023
samoa,Export,"Beverages, spirits and vinegar",$458.63K,2023
solomon-islands,Export,"Wood and articles of wood, wood charcoal",$426.69M,2018
solomon-islands,Export,"Meat, fish and seafood preparations",$40.76M,2018
solomon-islands,Export,"Animal, vegetable fats and oils, cleavage products",$32.49M,2018
solomon-islands,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$22.55M,2018
solomon-islands,Export,Ores slag and ash,$21.29M,2018
solomon-islands,Export,Cocoa and cocoa preparations,$8.64M,2018
solomon-islands,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$6.90M,2018
solomon-islands,Export,"Pearls, precious stones, metals, coins",$3.20M,2018
solomon-islands,Export,"Residues, wastes of food industry, animal fodder",$2.45M,2018
solomon-islands,Export,"Machinery, nuclear reactors, boilers",$1.10M,2018
tonga,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$6.42M,2014
tonga,Export,Edible vegetables and certain roots and tubers,$3.86M,2014
tonga,Export,"Mineral fuels, oils, distillation products",$2.93M,2014
tonga,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$1.94M,2014
tonga,Export,"Edible fruits, nuts, peel of citrus fruit, melons",$907.92K,2014
tonga,Export,"Manufacturers of plaiting material, basketwork",$452.69K,2014
tonga,Export,Tobacco and manufactures tobacco substitutes,$327.27K,2014
tonga,Export,"Machinery, nuclear reactors, boilers",$315.57K,2014
tonga,Export,"Tanning, dyeing extracts, tannins, derivatives, pigments",$301.40K,2014
tonga,Export,Products of animal origin,$245.00K,2014
vanuatu,Export,"Oil seed, oleagic fruits, grain, seed, fruits",$19.00M,2011
vanuatu,Export,"Animal, vegetable fats and oils, cleavage products",$17.05M,2011
vanuatu,Export,"Fish, crustaceans, molluscs, aquatics invertebrates",$5.77M,2011
vanuatu,Export,Meat and edible meat offal,$5.51M,2011
vanuatu,Export,"Tanning, dyeing extracts, tannins, derivatives, pigments",$2.75M,2011
vanuatu,Export,Cocoa and cocoa preparations,$2.61M,2011
vanuatu,Export,"Beverages, spirits and vinegar",$1.89M,2011
vanuatu,Export,Commodities not specified according to kind,$1.27M,2011
vanuatu,Export,Iron and steel,$898.72K,2011
vanuatu,Export,"Residues, wastes of food industry, animal fodder",$832.02K,2011
antigua-and-barbuda,Import,"Vehicles other than railway, tramway",$68.68M,2023
antigua-and-barbuda,Import,"Machinery, nuclear reactors, boilers",$59.59M,2023
antigua-and-barbuda,Import,"Electrical, electronic equipment",$48.94M,2023
antigua-and-barbuda,Import,"Furniture, lighting signs, prefabricated buildings",$35.84M,2023
antigua-and-barbuda,Import,Articles of iron or steel,$33.74M,2023
antigua-and-barbuda,Import,"Beverages, spirits and vinegar",$29.10M,2023
antigua-and-barbuda,Import,Meat and edible meat offal,$27.20M,2023
antigua-and-barbuda,Import,"Wood and articles of wood, wood charcoal",$25.35M,2023
antigua-and-barbuda,Import,Plastics,$24.48M,2023
antigua-and-barbuda,Import,Miscellaneous edible preparations,$19.37M,2023
argentina,Import,"Machinery, nuclear reactors, boilers",$11.18B,2023
argentina,Import,"Vehicles other than railway, tramway",$8.20B,2023
argentina,Import,"Electrical, electronic equipment",$8.12B,2023
argentina,Import,"Mineral fuels, oils, distillation products",$7.76B,2023
argentina,Import,"Oil seed, oleagic fruits, grain, seed, fruits",$5.73B,2023
argentina,Import,Organic chemicals,$3.42B,2023
argentina,Import,Plastics,$3.12B,2023
argentina,Import,Pharmaceutical products,$2.60B,2023
argentina,Import,"Optical, photo, technical, medical apparatus",$1.86B,2023
argentina,Import,Iron and steel,$1.70B,2023
aruba,Import,"Machinery, nuclear reactors, boilers",$113.33M,2023
aruba,Import,"Vehicles other than railway, tramway",$108.13M,2023
aruba,Import,"Mineral fuels, oils, distillation products",$91.14M,2023
aruba,Import,"Electrical, electronic equipment",$89.54M,2023
aruba,Import,"Beverages, spirits and vinegar",$69.74M,2023
aruba,Import,Tobacco and manufactures tobacco substitutes,$64.26M,2023
aruba,Import,Meat and edible meat offal,$59.47M,2023
aruba,Import,"Pearls, precious stones, metals, coins",$56.65M,2023
aruba,Import,"Furniture, lighting signs, prefabricated buildings",$49.02M,2023
aruba,Import,"Dairy products, eggs, honey, edible products",$41.42M,2023
bahamas,Import,"Mineral fuels, oils, distillation products",$627.49M,2023
bahamas,Import,"Machinery, nuclear reactors, boilers",$311.68M,2023
bahamas,Import,"Electrical, electronic equipment",$259.63M,2023
bahamas,Import,"Vehicles other than railway, tramway",$228.05M,2023
bahamas,Import,"Works of art, collectors' pieces and antiques",$167.57M,2023
bahamas,Import,"Furniture, lighting signs, prefabricated buildings",$160.65M,2023
bahamas,Import,Meat and edible meat offal,$146.22M,2023
bahamas,Import,"Beverages, spirits and vinegar",$144.06M,2023
bahamas,Import,Plastics,$140.20M,2023
bahamas,Import,Articles of iron or steel,$119.29M,2023
barbados,Import,"Mineral fuels, oils, distillation products",$531.59M,2023
barbados,Import,"Machinery, nuclear reactors, boilers",$207.63M,2023
barbados,Import,"Electrical, electronic equipment",$134.18M,2023
barbados,Import,"Vehicles other than railway, tramway",$129.23M,2023
barbados,Import,Plastics,$68.89M,2023
barbados,Import,"Beverages, spirits and vinegar",$54.11M,2023
barbados,Import,"Furniture, lighting signs, prefabricated buildings",$53.74M,2023
barbados,Import,Miscellaneous edible preparations,$48.11M,2023
barbados,Import,"Paper and paperboard, articles of pulp, paper and board",$47.10M,2023
barbados,Import,Pharmaceutical products,$45.95M,2023
belize,Import,"Mineral fuels, oils, distillation products",$208.53M,2022
belize,Import,"Machinery, nuclear reactors, boilers",$140.89M,2022
belize,Import,"Electrical, electronic equipment",$67.26M,2022
belize,Import,"Vehicles other than railway, tramway",$66.40M,2022
belize,Import,Tobacco and manufactures tobacco substitutes,$66.27M,2022
belize,Import,Plastics,$48.52M,2022
belize,Import,"Footwear, gaiters and the like,",$46.92M,2022
belize,Import,Articles of iron or steel,$43.94M,2022
belize,Import,Miscellaneous chemical products,$40.18M,2022
belize,Import,"Articles of apparel, knit or crocheted",$39.43M,2022
bermuda,Import,Commodities not specified according to kind,$165.60M,2023
bermuda,Import,"Mineral fuels, oils, distillation products",$97.42M,2023
bermuda,Import,"Machinery, nuclear reactors, boilers",$74.04M,2023
bermuda,Import,"Printed books, newspapers, pictures",$71.18M,2023
bermuda,Import,"Electrical, electronic equipment",$61.23M,2023
bermuda,Import,"Vehicles other than railway, tramway",$58.59M,2023
bermuda,Import,"Beverages, spirits and vinegar",$53.51M,2023
bermuda,Import,"Furniture, lighting signs, prefabricated buildings",$49.44M,2023
bermuda,Import,Pharmaceutical products,$34.72M,2023
bermuda,Import,Plastics,$34.24M,2023
bolivia,Import,"Mineral fuels, oils, distillation products",$3.03B,2023
bolivia,Import,"Machinery, nuclear reactors, boilers",$1.36B,2023
bolivia,Import,"Vehicles other than railway, tramway",$1.21B,2023
bolivia,Import,"Electrical, electronic equipment",$592.77M,2023
bolivia,Import,Plastics,$549.22M,2023
bolivia,Import,Iron and steel,$428.13M,2023
bolivia,Import,Miscellaneous chemical products,$405.75M,2023
bolivia,Import,Pharmaceutical products,$246.06M,2023
bolivia,Import,Articles of iron or steel,$232.64M,2023
bolivia,Import,Rubbers,$225.19M,2023
brazil,Import,"Machinery, nuclear reactors, boilers",$42.80B,2024
brazil,Import,"Mineral fuels, oils, distillation products",$36.58B,2024
brazil,Import,"Electrical, electronic equipment",$32.54B,2024
brazil,Import,"Vehicles other than railway, tramway",$24.14B,2024
brazil,Import,Fertilizers,$15.02B,2024
brazil,Import,Organic chemicals,$14.56B,2024
brazil,Import,Pharmaceutical products,$12.59B,2024
brazil,Import,Plastics,$11.75B,2024
brazil,Import,"Optical, photo, technical, medical apparatus",$8.67B,2024
brazil,Import,Miscellaneous chemical products,$7.77B,2024
canada,Import,"Vehicles other than railway, tramway",$91.91B,2023
canada,Import,"Machinery, nuclear reactors, boilers",$84.12B,2023
canada,Import,"Electrical, electronic equipment",$52.96B,2023
canada,Import,"Mineral fuels, oils, distillation products",$38.37B,2023
canada,Import,"Pearls, precious stones, metals, coins",$19.44B,2023
canada,Import,Plastics,$19.31B,2023
canada,Import,Pharmaceutical products,$18.89B,2023
canada,Import,"Optical, photo, technical, medical apparatus",$15.06B,2023
canada,Import,Commodities not specified according to kind,$13.25B,2023
canada,Import,Articles of iron or steel,$12.67B,2023
cayman-islands,Import,"Mineral fuels, oils, distillation products",$258.34M,2023
cayman-islands,Import,"Electrical, electronic equipment",$116.97M,2023
cayman-islands,Import,"Vehicles other than railway, tramway",$113.70M,2023
cayman-islands,Import,"Machinery, nuclear reactors, boilers",$111.62M,2023
cayman-islands,Import,Plastics,$106.72M,2023
cayman-islands,Import,Miscellaneous edible preparations,$70.64M,2023
cayman-islands,Import,"Articles of apparel, not knit or crocheted",$63.61M,2023
cayman-islands,Import,"Beverages, spirits and vinegar",$63.02M,2023
cayman-islands,Import,"Furniture, lighting signs, prefabricated buildings",$60.51M,2023
cayman-islands,Import,Commodities not specified according to kind,$59.18M,2023
chile,Import,"Mineral fuels, oils, distillation products",$17.96B,2023
chile,Import,"Machinery, nuclear reactors, boilers",$10.40B,2023
chile,Import,"Electrical, electronic equipment",$8.50B,2023
chile,Import,"Vehicles other than railway, tramway",$8.08B,2023
chile,Import,Plastics,$2.53B,2023
chile,Import,Pharmaceutical products,$2.25B,2023
chile,Import,Meat and edible meat offal,$2.00B,2023
chile,Import,"Optical, photo, technical, medical apparatus",$1.74B,2023
chile,Import,Articles of iron or steel,$1.64B,2023
chile,Import,"Inorganic chemicals, precious metal compound, isotope",$1.52B,2023
colombia,Import,"Mineral fuels, oils, distillation products",$6.49B,2023
colombia,Import,"Machinery, nuclear reactors, boilers",$6.44B,2023
colombia,Import,"Electrical, electronic equipment",$6.04B,2023
colombia,Import,"Vehicles other than railway, tramway",$4.80B,2023
colombia,Import,Pharmaceutical products,$3.66B,2023
colombia,Import,Cereals,$2.73B,2023
colombia,Import,Plastics,$2.65B,2023
colombia,Import,"Aircraft, spacecraft",$2.36B,2023
colombia,Import,Organic chemicals,$2.27B,2023
colombia,Import,"Optical, photo, technical, medical apparatus",$1.88B,2023
costa-rica,Import,"Mineral fuels, oils, distillation products",$2.59B,2023
costa-rica,Import,"Electrical, electronic equipment",$2.20B,2023
costa-rica,Import,"Machinery, nuclear reactors, boilers",$1.95B,2023
costa-rica,Import,Plastics,$1.73B,2023
costa-rica,Import,"Vehicles other than railway, tramway",$1.67B,2023
costa-rica,Import,"Optical, photo, technical, medical apparatus",$1.30B,2023
costa-rica,Import,Pharmaceutical products,$1.04B,2023
costa-rica,Import,"Paper and paperboard, articles of pulp, paper and board",$772.76M,2023
costa-rica,Import,Iron and steel,$766.52M,2023
costa-rica,Import,Articles of iron or steel,$605.48M,2023
cuba,Import,"Mineral fuels, oils, distillation products",$3.33B,2022
cuba,Import,"Machinery, nuclear reactors, boilers",$742.65M,2022
cuba,Import,Cereals,$602.33M,2022
cuba,Import,Meat and edible meat offal,$551.36M,2022
cuba,Import,"Electrical, electronic equipment",$485.46M,2022
cuba,Import,Plastics,$314.65M,2022
cuba,Import,"Vehicles other than railway, tramway",$286.97M,2022
cuba,Import,"Beverages, spirits and vinegar",$232.33M,2022
cuba,Import,"Dairy products, eggs, honey, edible products",$220.50M,2022
cuba,Import,"Animal, vegetable fats and oils, cleavage products",$206.12M,2022
dominica,Import,"Mineral fuels, oils, distillation products",$56.30M,2023
dominica,Import,"Machinery, nuclear reactors, boilers",$30.68M,2023
dominica,Import,"Electrical, electronic equipment",$17.24M,2023
dominica,Import,"Beverages, spirits and vinegar",$14.04M,2023
dominica,Import,"Vehicles other than railway, tramway",$13.41M,2023
dominica,Import,Meat and edible meat offal,$10.35M,2023
dominica,Import,"Wood and articles of wood, wood charcoal",$9.64M,2023
dominica,Import,Plastics,$9.54M,2023
dominica,Import,Articles of iron or steel,$7.87M,2023
dominica,Import,Miscellaneous edible preparations,$7.33M,2023
dominican-republic,Import,"Mineral fuels, oils, distillation products",$5.72B,2023
dominican-republic,Import,"Vehicles other than railway, tramway",$2.61B,2023
dominican-republic,Import,"Machinery, nuclear reactors, boilers",$2.48B,2023
dominican-republic,Import,"Electrical, electronic equipment",$2.34B,2023
dominican-republic,Import,Plastics,$2.18B,2023
dominican-republic,Import,Pharmaceutical products,$1.05B,2023
dominican-republic,Import,Iron and steel,$956.49M,2023
dominican-republic,Import,"Pearls, precious stones, metals, coins",$793.13M,2023
dominican-republic,Import,Articles of iron or steel,$742.63M,2023
dominican-republic,Import,"Paper and paperboard, articles of pulp, paper and board",$713.20M,2023
ecuador,Import,"Mineral fuels, oils, distillation products",$7.46B,2023
ecuador,Import,"Machinery, nuclear reactors, boilers",$3.10B,2023
ecuador,Import,"Vehicles other than railway, tramway",$2.79B,2023
ecuador,Import,"Electrical, electronic equipment",$2.07B,2023
ecuador,Import,"Residues, wastes of food industry, animal fodder",$1.61B,2023
ecuador,Import,Pharmaceutical products,$1.33B,2023
ecuador,Import,Plastics,$1.19B,2023
ecuador,Import,Iron and steel,$912.63M,2023
ecuador,Import,Cereals,$664.27M,2023
ecuador,Import,"Optical, photo, technical, medical apparatus",$655.82M,2023
el-salvador,Import,"Mineral fuels, oils, distillation products",$2.55B,2023
el-salvador,Import,"Electrical, electronic equipment",$1.10B,2023
el-salvador,Import,"Machinery, nuclear reactors, boilers",$1.07B,2023
el-salvador,Import,"Vehicles other than railway, tramway",$1.00B,2023
el-salvador,Import,Plastics,$836.21M,2023
el-salvador,Import,Pharmaceutical products,$580.67M,2023
el-salvador,Import,Iron and steel,$483.56M,2023
el-salvador,Import,Cereals,$432.99M,2023
el-salvador,Import,Miscellaneous edible preparations,$419.45M,2023
el-salvador,Import,"Articles of apparel, knit or crocheted",$400.26M,2023
grenada,Import,"Mineral fuels, oils, distillation products",$108.44M,2023
grenada,Import,"Machinery, nuclear reactors, boilers",$51.50M,2023
grenada,Import,"Vehicles other than railway, tramway",$37.01M,2023
grenada,Import,"Electrical, electronic equipment",$33.82M,2023
grenada,Import,Meat and edible meat offal,$21.75M,2023
grenada,Import,Plastics,$18.80M,2023
grenada,Import,"Furniture, lighting signs, prefabricated buildings",$18.66M,2023
grenada,Import,Articles of iron or steel,$18.41M,2023
grenada,Import,"Wood and articles of wood, wood charcoal",$17.71M,2023
grenada,Import,"Beverages, spirits and vinegar",$16.33M,2023
guatemala,Import,"Mineral fuels, oils, distillation products",$5.06B,2023
guatemala,Import,"Vehicles other than railway, tramway",$2.68B,2023
guatemala,Import,"Electrical, electronic equipment",$2.40B,2023
guatemala,Import,"Machinery, nuclear reactors, boilers",$2.39B,2023
guatemala,Import,Plastics,$1.50B,2023
guatemala,Import,Iron and steel,$1.17B,2023
guatemala,Import,Pharmaceutical products,$991.23M,2023
guatemala,Import,Cereals,$844.49M,2023
guatemala,Import,"Paper and paperboard, articles of pulp, paper and board",$815.50M,2023
guatemala,Import,Miscellaneous edible preparations,$733.32M,2023
guyana,Import,"Mineral fuels, oils, distillation products",$1.02B,2023
guyana,Import,"Machinery, nuclear reactors, boilers",$911.59M,2023
guyana,Import,"Vehicles other than railway, tramway",$439.90M,2023
guyana,Import,Articles of iron or steel,$326.59M,2023
guyana,Import,"Ships, boats, and other floating structures",$320.92M,2023
guyana,Import,"Electrical, electronic equipment",$264.56M,2023
guyana,Import,Rubbers,$142.92M,2023
guyana,Import,"Salt, sulphur, earth, stone, plaster, lime and cement",$127.35M,2023
guyana,Import,Plastics,$126.01M,2023
guyana,Import,"Optical, photo, technical, medical apparatus",$110.93M,2023
honduras,Import,"Mineral fuels, oils, distillation products",$2.60B,2023
honduras,Import,"Vehicles other than railway, tramway",$1.50B,2023
honduras,Import,"Machinery, nuclear reactors, boilers",$1.05B,2023
honduras,Import,"Electrical, electronic equipment",$1.04B,2023
honduras,Import,Pharmaceutical products,$771.16M,2023
honduras,Import,Iron and steel,$674.55M,2023
honduras,Import,Plastics,$559.27M,2023
honduras,Import,Miscellaneous edible preparations,$455.58M,2023
honduras,Import,Cereals,$455.24M,2023
honduras,Import,"Residues, wastes of food industry, animal fodder",$430.54M,2023
jamaica,Import,"Mineral fuels, oils, distillation products",$2.04B,2023
jamaica,Import,"Vehicles other than railway, tramway",$619.54M,2023
jamaica,Import,"Machinery, nuclear reactors, boilers",$584.79M,2023
jamaica,Import,"Electrical, electronic equipment",$381.71M,2023
jamaica,Import,Plastics,$275.54M,2023
jamaica,Import,Cereals,$224.01M,2023
jamaica,Import,Miscellaneous edible preparations,$205.72M,2023
jamaica,Import,Pharmaceutical products,$197.67M,2023
jamaica,Import,"Beverages, spirits and vinegar",$177.82M,2023
jamaica,Import,Iron and steel,$158.66M,2023
mexico,Import,"Electrical, electronic equipment",$117.28B,2022
mexico,Import,"Machinery, nuclear reactors, boilers",$94.22B,2022
mexico,Import,"Mineral fuels, oils, distillation products",$62.90B,2022
mexico,Import,"Vehicles other than railway, tramway",$48.29B,2022
mexico,Import,Plastics,$32.72B,2022
mexico,Import,Commodities not specified according to kind,$24.48B,2022
mexico,Import,Iron and steel,$20.82B,2022
mexico,Import,"Optical, photo, technical, medical apparatus",$18.74B,2022
mexico,Import,Organic chemicals,$13.30B,2022
mexico,Import,Articles of iron or steel,$12.74B,2022
nicaragua,Import,"Mineral fuels, oils, distillation products",$1.54B,2023
nicaragua,Import,"Electrical, electronic equipment",$854.05M,2023
nicaragua,Import,"Vehicles other than railway, tramway",$720.66M,2023
nicaragua,Import,"Articles of apparel, knit or crocheted",$689.66M,2023
nicaragua,Import,"Machinery, nuclear reactors, boilers",$626.83M,2023
nicaragua,Import,Pharmaceutical products,$501.18M,2023
nicaragua,Import,Plastics,$498.11M,2023
nicaragua,Import,Knitted or crocheted fabric,$344.17M,2023
nicaragua,Import,Iron and steel,$327.21M,2023
nicaragua,Import,Cereals,$285.58M,2023
panama,Import,"Mineral fuels, oils, distillation products",$2.92B,2023
panama,Import,"Machinery, nuclear reactors, boilers",$1.43B,2023
panama,Import,"Vehicles other than railway, tramway",$1.18B,2023
panama,Import,"Electrical, electronic equipment",$1.03B,2023
panama,Import,Pharmaceutical products,$752.01M,2023
panama,Import,Articles of iron or steel,$486.38M,2023
panama,Import,Plastics,$461.14M,2023
panama,Import,"Optical, photo, technical, medical apparatus",$330.60M,2023
panama,Import,Iron and steel,$325.43M,2023
panama,Import,Cereals,$310.65M,2023
paraguay,Import,"Electrical, electronic equipment",$2.97B,2024
paraguay,Import,"Mineral fuels, oils, distillation products",$2.29B,2024
paraguay,Import,"Machinery, nuclear reactors, boilers",$2.09B,2024
paraguay,Import,"Vehicles other than railway, tramway",$1.58B,2024
paraguay,Import,Fertilizers,$680.97M,2024
paraguay,Import,Miscellaneous chemical products,$658.03M,2024
paraguay,Import,Plastics,$583.01M,2024
paraguay,Import,Pharmaceutical products,$478.28M,2024
paraguay,Import,Rubbers,$426.81M,2024
paraguay,Import,"Essential oils, perfumes, cosmetics, toileteries",$347.10M,2024
peru,Import,"Mineral fuels, oils, distillation products",$9.28B,2023
peru,Import,"Machinery, nuclear reactors, boilers",$6.73B,2023
peru,Import,"Vehicles other than railway, tramway",$4.85B,2023
peru,Import,"Electrical, electronic equipment",$4.19B,2023
peru,Import,Plastics,$2.20B,2023
peru,Import,Iron and steel,$1.91B,2023
peru,Import,Cereals,$1.91B,2023
peru,Import,Articles of iron or steel,$1.11B,2023
peru,Import,Pharmaceutical products,$1.09B,2023
peru,Import,Miscellaneous chemical products,$1.05B,2023
suriname,Import,"Machinery, nuclear reactors, boilers",$309.89M,2023
suriname,Import,"Mineral fuels, oils, distillation products",$202.97M,2023
suriname,Import,"Vehicles other than railway, tramway",$146.23M,2023
suriname,Import,Articles of iron or steel,$113.29M,2023
suriname,Import,"Electrical, electronic equipment",$93.59M,2023
suriname,Import,Plastics,$58.20M,2023
suriname,Import,"Railway, tramway locomotives, rolling stock, equipment",$43.01M,2023
suriname,Import,"Inorganic chemicals, precious metal compound, isotope",$42.70M,2023
suriname,Import,Miscellaneous chemical products,$41.67M,2023
suriname,Import,Fertilizers,$40.09M,2023
trinidad-and-tobago,Import,"Mineral fuels, oils, distillation products",$3.32B,2023
trinidad-and-tobago,Import,"Machinery, nuclear reactors, boilers",$899.39M,2023
trinidad-and-tobago,Import,"Vehicles other than railway, tramway",$532.95M,2023
trinidad-and-tobago,Import,Ores slag and ash,$379.84M,2023
trinidad-and-tobago,Import,"Electrical, electronic equipment",$353.55M,2023
trinidad-and-tobago,Import,Plastics,$256.89M,2023
trinidad-and-tobago,Import,Articles of iron or steel,$198.17M,2023
trinidad-and-tobago,Import,"Ships, boats, and other floating structures",$178.71M,2023
trinidad-and-tobago,Import,Pharmaceutical products,$166.77M,2023
trinidad-and-tobago,Import,"Dairy products, eggs, honey, edible products",$142.53M,2023
united-states,Import,"Machinery, nuclear reactors, boilers",$531.15B,2024
united-states,Import,"Electrical, electronic equipment",$485.88B,2024
united-states,Import,"Vehicles other than railway, tramway",$391.46B,2024
united-states,Import,"Mineral fuels, oils, distillation products",$251.12B,2024
united-states,Import,Pharmaceutical products,$212.67B,2024
united-states,Import,Commodities not specified according to kind,$127.98B,2024
united-states,Import,"Optical, photo, technical, medical apparatus",$124.83B,2024
united-states,Import,"Pearls, precious stones, metals, coins",$87.20B,2024
united-states,Import,Plastics,$78.23B,2024
united-states,Import,"Furniture, lighting signs, prefabricated buildings",$72.64B,2024
uruguay,Import,"Mineral fuels, oils, distillation products",$2.23B,2022
uruguay,Import,"Vehicles other than railway, tramway",$1.46B,2022
uruguay,Import,"Machinery, nuclear reactors, boilers",$1.25B,2022
uruguay,Import,"Electrical, electronic equipment",$878.81M,2022
uruguay,Import,Fertilizers,$701.31M,2022
uruguay,Import,Plastics,$650.28M,2022
uruguay,Import,Miscellaneous chemical products,$450.38M,2022
uruguay,Import,Pharmaceutical products,$360.42M,2022
uruguay,Import,Meat and edible meat offal,$299.55M,2022
uruguay,Import,Articles of iron or steel,$242.57M,2022
venezuela,Import,"Machinery, nuclear reactors, boilers",$8.38B,2013
venezuela,Import,"Electrical, electronic equipment",$4.05B,2013
venezuela,Import,Pharmaceutical products,$3.21B,2013
venezuela,Import,Articles of iron or steel,$2.68B,2013
venezuela,Import,Cereals,$1.61B,2013
venezuela,Import,Plastics,$1.46B,2013
venezuela,Import,Organic chemicals,$1.39B,2013
venezuela,Import,Meat and edible meat offal,$1.39B,2013
venezuela,Import,"Optical, photo, technical, medical apparatus",$1.26B,2013
venezuela,Import,Live animals,$1.20B,2013
albania,Import,"Mineral fuels, oils, distillation products",$947.42M,2023
albania,Import,"Vehicles other than railway, tramway",$762.06M,2023
albania,Import,"Electrical, electronic equipment",$683.41M,2023
albania,Import,"Machinery, nuclear reactors, boilers",$628.64M,2023
albania,Import,Iron and steel,$505.37M,2023
albania,Import,Plastics,$325.04M,2023
albania,Import,Pharmaceutical products,$266.80M,2023
albania,Import,"Beverages, spirits and vinegar",$208.85M,2023
albania,Import,Articles of iron or steel,$198.14M,2023
albania,Import,"Articles of apparel, not knit or crocheted",$186.29M,2023
andorra,Import,"Vehicles other than railway, tramway",$309.67M,2023
andorra,Import,"Mineral fuels, oils, distillation products",$173.44M,2023
andorra,Import,"Electrical, electronic equipment",$141.16M,2023
andorra,Import,"Essential oils, perfumes, cosmetics, toileteries",$125.28M,2023
andorra,Import,"Beverages, spirits and vinegar",$110.18M,2023
andorra,Import,"Machinery, nuclear reactors, boilers",$101.72M,2023
andorra,Import,"Articles of apparel, not knit or crocheted",$55.20M,2023
andorra,Import,"Articles of apparel, knit or crocheted",$54.15M,2023
andorra,Import,"Furniture, lighting signs, prefabricated buildings",$51.79M,2023
andorra,Import,Pharmaceutical products,$46.27M,2023
austria,Import,"Machinery, nuclear reactors, boilers",$26.79B,2023
austria,Import,"Vehicles other than railway, tramway",$23.73B,2023
austria,Import,"Electrical, electronic equipment",$23.24B,2023
austria,Import,"Mineral fuels, oils, distillation products",$19.72B,2023
austria,Import,Pharmaceutical products,$11.28B,2023
austria,Import,Plastics,$8.30B,2023
austria,Import,Articles of iron or steel,$6.47B,2023
austria,Import,Organic chemicals,$6.46B,2023
austria,Import,"Optical, photo, technical, medical apparatus",$5.95B,2023
austria,Import,Iron and steel,$5.13B,2023
belarus,Import,Commodities not specified according to kind,$14.82B,2021
belarus,Import,"Machinery, nuclear reactors, boilers",$3.41B,2021
belarus,Import,"Electrical, electronic equipment",$2.94B,2021
belarus,Import,Iron and steel,$2.33B,2021
belarus,Import,"Vehicles other than railway, tramway",$1.81B,2021
belarus,Import,Plastics,$1.59B,2021
belarus,Import,Articles of iron or steel,$1.05B,2021
belarus,Import,Pharmaceutical products,$980M,2021
belarus,Import,"Optical, photo, technical, medical apparatus",$690.63M,2021
